name,team_country,team_confederation,position,club,club_country,birth_date,birth_city,birth_country,birth_lat,birth_lon,caps,goals,is_foreign_born,birth_country_known
Matěj Kovář,Czech Republic,UEFA,Goalkeeper,PSV Eindhoven,Netherlands,2000-05-17,Uherské Hradiště,Czech Republic,49.069757549526,17.459691353499,20,0,false,true
David Zima,Czech Republic,UEFA,Defender,Slavia Prague,Czech Republic,2000-11-08,Olomouc,Czech Republic,49.593888888889,17.250833333333,25,1,false,true
Tomáš Holeš,Czech Republic,UEFA,Defender,Slavia Prague,Czech Republic,1993-03-31,Polička,Czech Republic,49.714679390589,16.265478874053,41,2,false,true
Robin Hranáč,Czech Republic,UEFA,Defender,TSG Hoffenheim,Germany,2000-01-29,Plzeň,Czech Republic,49.741388888889,13.3825,14,1,false,true
Vladimír Coufal,Czech Republic,UEFA,Defender,TSG Hoffenheim,Germany,1992-08-22,Prague,Czech Republic,50.0875,14.421388888888888,62,2,false,true
Štěpán Chaloupek,Czech Republic,UEFA,Defender,Slavia Prague,Czech Republic,2003-03-08,Meziboří,Czech Republic,50.621246387357,13.598802095006,5,0,false,true
Ladislav Krejčí,Czech Republic,UEFA,Defender,Wolverhampton Wanderers,England,1999-04-20,Rosice,Czech Republic,49.1823520088,16.387885945617,27,5,false,true
Vladimír Darida,Czech Republic,UEFA,Midfielder,Hradec Králové,Czech Republic,1990-08-08,Plzeň,Czech Republic,49.741388888889,13.3825,79,8,false,true
Adam Hložek,Czech Republic,UEFA,Forward,TSG Hoffenheim,Germany,2002-07-25,Ivančice,Czech Republic,49.101477851144,16.377529198529,43,5,false,true
Patrik Schick,Czech Republic,UEFA,Forward,Bayer Leverkusen,Germany,1996-01-24,Prague,Czech Republic,50.0875,14.421388888888888,53,26,false,true
Jan Kuchta,Czech Republic,UEFA,Forward,Sparta Prague,Czech Republic,1997-01-08,Liberec,Austria–Hungary,50.766666666666666,15.05,31,3,true,true
Lukáš Červ,Czech Republic,UEFA,Midfielder,Viktoria Plzeň,Czech Republic,2001-04-10,Prague,Czech Republic,50.0875,14.421388888888888,17,2,false,true
Mojmír Chytil,Czech Republic,UEFA,Forward,Slavia Prague,Czech Republic,1999-04-29,Skalka,Czech Republic,49.403099721183,17.169833127602,22,6,false,true
David Jurásek,Czech Republic,UEFA,Defender,Slavia Prague,Czech Republic,2000-08-07,Uherské Hradiště,Czech Republic,49.069757549526,17.459691353499,18,1,false,true
Pavel Šulc,Czech Republic,UEFA,Forward,Lyon,France,2000-12-29,Karlovy Vary,Czech Republic,50.230555555556,12.8725,21,5,false,true
Jindřich Staněk,Czech Republic,UEFA,Goalkeeper,Slavia Prague,Czech Republic,1996-04-27,Strakonice,Czech Republic,49.261497897079,13.902396874574,14,0,false,true
Lukáš Provod,Czech Republic,UEFA,Midfielder,Slavia Prague,Czech Republic,1996-10-23,Plzeň,Czech Republic,49.741388888889,13.3825,38,3,false,true
